Run,Bases,Ecotype,Library Name,ReleaseDate,create_date,Sample Name,sex,Strain,Tissue
SRR10901764,2385885200,high-predation,020_HP-P,2020-06-02T00:00:00Z,2020-01-16T00:32:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901775,1684093200,high-predation,018_HP-NP,2020-06-02T00:00:00Z,2020-01-16T00:36:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901786,2754989400,high-predation,015_HP-NP,2020-06-02T00:00:00Z,2020-01-16T00:40:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901806,1917227200,high-predation,024_HP-NP,2020-06-02T00:00:00Z,2020-01-16T00:38:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901817,1845345200,high-predation,022_HP-P,2020-06-02T00:00:00Z,2020-01-16T00:42:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901829,2820480400,high-predation,013_HP-P,2020-06-02T00:00:00Z,2020-01-16T00:45:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901830,2385115800,low-predation,058_LP-NP,2020-06-02T00:00:00Z,2020-01-16T00:44:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901831,1889447600,low-predation,053_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:43:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901832,4237640600,low-predation,048_LP-NP,2020-06-02T00:00:00Z,2020-01-16T00:50:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901833,2721084800,low-predation,046_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:44:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901834,3571930600,low-predation,044_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:47:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901835,3263476200,low-predation,042_LP-NP,2020-06-02T00:00:00Z,2020-01-16T00:45:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901836,2052200000,low-predation,035_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:44:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901837,2341774000,low-predation,033_LP-NP,2020-06-02T00:00:00Z,2020-01-16T00:43:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901838,2987939400,low-predation,032_LP-NP,2020-06-02T00:00:00Z,2020-01-16T00:45:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901839,4053101000,low-predation,030_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:48:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901840,1425164000,high-predation,008_HP-NP,2020-06-02T00:00:00Z,2020-01-16T00:43:00Z,Poecilia reticulata (Aripo HP),male,Aripo,whole brain
SRR10901841,3186360400,low-predation,028_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:46:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901842,1732794200,low-predation,023_LP-NP,2020-06-02T00:00:00Z,2020-01-16T00:44:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
SRR10901843,2269490200,low-predation,021_LP-P,2020-06-02T00:00:00Z,2020-01-16T00:45:00Z,Poecilia reticulata (Aripo LP),male,Aripo,whole brain
