Chrom,Location,SRR10901764.tmp,SRR10901775.tmp,SRR10901786.tmp,SRR10901806.tmp,SRR10901817.tmp,SRR10901829.tmp,SRR10901830.tmp,SRR10901831.tmp,SRR10901832.tmp,SRR10901833.tmp,SRR10901834.tmp,SRR10901835.tmp,SRR10901836.tmp,SRR10901837.tmp,SRR10901838.tmp,SRR10901839.tmp,SRR10901840.tmp,SRR10901842.tmp,SRR10901843.tmp,SRR10901845.tmp,SRR10901847.tmp,SRR10901848.tmp,SRR10901850.tmp,SRR10901851.tmp,SRR10901852.tmp,SRR10901853.tmp,SRR10901854.tmp,SRR10901855.tmp,SRR10901856.tmp,SRR10901857.tmp,SRR10901858.tmp,SRR10901859.tmp,SRR10901860.tmp,SRR10901861.tmp,SRR10901862.tmp,SRR10901863.tmp
chr1,21410456,13,11,23,6,9,2,18,4,21,11,20,22,1,5,18,25,7,12,14,12,37,24,19,17,5,12,12,13,16,8,0,23,14,18,25,19
chr1,21410457,13,11,23,6,9,2,18,4,22,11,21,22,1,5,18,26,7,13,14,13,36,24,19,18,5,12,12,13,16,8,0,23,14,19,25,19
chr1,21410462,14,12,23,6,9,2,18,4,20,10,21,21,0,5,18,26,7,14,14,14,34,25,20,18,5,12,12,12,16,7,0,23,14,20,27,18
chr1,21410523,21,15,25,6,12,1,18,2,28,13,27,26,1,11,21,28,9,17,17,14,36,30,24,19,5,17,17,13,20,14,0,28,16,23,28,20
chr1,21410631,21,19,23,10,16,2,16,5,30,18,38,28,0,9,25,30,9,15,15,14,39,32,28,17,9,18,12,14,14,16,1,25,16,22,31,21
chr1,21410496,17,12,26,7,11,1,18,3,26,9,24,23,1,7,19,26,8,16,16,14,35,28,25,19,5,17,14,13,17,10,0,26,15,24,27,18
chr1,21410512,20,13,24,6,11,1,18,3,27,10,25,24,1,10,22,29,9,17,17,13,34,27,25,18,5,16,17,13,17,12,0,28,15,24,29,20
chr1,21410444,13,11,23,7,11,2,17,4,24,12,21,22,1,6,19,27,8,13,15,13,40,26,20,20,5,15,11,13,16,11,0,26,13,20,29,20
chr1,22878500,24,20,25,8,19,1,19,4,37,14,37,25,0,7,23,40,14,19,19,13,44,26,25,29,15,24,22,16,13,15,0,28,18,30,34,11
chr1,22878508,24,19,24,7,16,0,18,4,36,13,37,24,0,6,24,38,14,19,20,14,44,26,25,29,15,23,21,15,14,15,1,28,17,30,35,11
chr1,22878514,24,19,25,8,15,0,18,4,34,13,37,23,0,6,25,38,14,17,19,16,43,26,24,26,14,21,19,15,15,16,1,29,18,28,35,11
chr1,22878562,20,16,23,5,8,0,15,4,27,10,28,22,0,6,22,25,10,14,17,10,31,24,21,17,9,13,15,6,15,10,1,21,15,21,31,9
chr1,22878340,39,30,51,14,26,0,30,5,51,23,48,38,1,22,41,63,16,25,27,20,52,40,40,34,18,32,26,29,31,22,0,48,38,48,62,21
chr1,22878353,34,30,49,15,24,0,29,5,56,23,44,39,1,23,38,60,14,24,28,20,50,39,38,36,16,27,24,31,27,20,0,46,36,47,66,20
chr1,22878390,34,28,46,15,25,0,27,7,57,32,44,35,1,19,33,60,18,25,28,18,50,42,37,39,17,24,23,26,24,25,0,42,36,53,61,18
chr1,22878338,38,31,50,14,26,0,30,5,51,23,49,39,1,22,41,63,16,25,28,21,52,41,40,34,17,32,27,30,31,22,0,49,36,48,62,21
chr1,22878515,24,19,24,8,14,0,17,4,33,12,37,23,0,6,25,38,14,17,19,16,42,25,23,25,13,21,19,15,15,16,1,28,18,28,34,11
chr1,21410467,15,11,25,5,10,3,19,5,20,11,23,20,0,6,19,26,8,16,16,14,34,24,22,19,5,12,13,11,14,6,0,23,15,21,27,18
chr1,21410477,15,12,26,5,11,2,19,5,23,11,24,23,0,6,19,27,8,17,14,14,33,27,22,18,5,13,15,11,12,7,0,24,16,21,27,17
chr1,21410518,20,15,25,6,11,1,18,3,28,11,26,26,1,10,22,28,9,17,17,13,35,28,23,18,5,17,17,14,19,12,0,27,16,23,28,19
chr1,21410576,31,13,23,8,11,3,17,1,33,14,28,30,2,13,28,28,9,14,18,14,44,28,23,20,7,20,13,16,26,22,2,35,16,28,32,24
chr1,21410630,21,19,23,10,16,2,16,5,29,18,38,28,0,9,25,30,9,15,15,14,39,32,28,17,9,18,12,14,14,16,1,25,15,22,31,21
chr1,22878552,20,16,21,8,11,0,16,5,31,12,32,21,0,4,23,31,11,17,20,13,34,27,23,20,10,14,17,8,16,11,2,21,17,24,34,12
chr1,9837095,6,10,11,1,7,2,7,2,5,2,11,20,0,0,5,16,2,10,13,13,19,12,7,10,5,6,4,4,2,3,0,11,2,15,22,12
chr1,9837119,6,8,11,1,6,2,6,2,3,4,11,19,0,0,4,16,2,10,12,13,18,12,6,9,5,4,4,3,1,3,0,11,1,13,21,12
chr1,9837121,6,8,11,1,6,2,6,2,3,4,11,19,0,0,4,16,2,10,12,13,18,12,6,9,5,6,3,3,1,3,0,11,1,13,21,12
chr1,21410513,20,13,24,6,11,1,18,3,27,10,25,24,1,10,22,29,9,17,17,13,34,27,25,18,5,16,17,13,17,12,0,28,15,24,28,20
chr1,21410525,21,15,25,6,12,1,18,2,28,13,27,26,1,11,21,28,9,17,17,14,36,30,24,20,5,16,17,13,20,14,0,27,15,24,28,20
chr10,6227935,21,12,20,5,16,1,15,1,32,9,26,18,0,2,23,19,9,10,17,12,30,28,20,21,11,18,14,14,12,11,0,17,10,23,24,8
chr10,6227942,45,23,35,19,39,0,25,8,57,25,47,40,2,7,53,44,19,26,36,24,57,50,48,26,27,46,25,45,21,18,3,39,33,51,51,40
chr10,6227962,44,24,36,17,38,0,22,5,63,25,52,41,1,7,54,44,15,27,37,25,53,48,46,25,26,45,22,43,20,16,2,37,31,52,52,41
chr10,6227970,52,30,37,22,23,5,36,10,72,24,61,54,1,18,57,45,33,25,41,36,53,55,44,35,33,53,24,48,23,19,3,38,41,46,50,36
chr10,6229026,26,13,20,4,9,0,19,1,34,7,41,24,0,3,28,30,12,16,18,16,47,40,29,24,15,16,11,20,12,16,0,25,9,27,40,17
chr10,6229027,26,13,20,4,9,0,19,1,34,7,41,24,0,3,28,31,12,16,18,16,46,40,29,24,14,16,11,20,12,16,0,25,9,27,40,17
chr10,6229032,26,13,20,4,9,0,19,1,34,7,41,24,0,3,28,31,12,16,18,16,46,40,29,24,14,16,11,20,12,16,0,25,9,27,40,17
