Chrom,Location,SRR10901765.tmp,SRR10901766.tmp,SRR10901767.tmp,SRR10901768.tmp,SRR10901769.tmp,SRR10901770.tmp,SRR10901771.tmp,SRR10901772.tmp,SRR10901773.tmp,SRR10901774.tmp,SRR10901776.tmp,SRR10901777.tmp,SRR10901778.tmp,SRR10901779.tmp,SRR10901780.tmp,SRR10901781.tmp,SRR10901782.tmp,SRR10901783.tmp,SRR10901784.tmp,SRR10901785.tmp,SRR10901787.tmp,SRR10901788.tmp,SRR10901789.tmp,SRR10901790.tmp,SRR10901791.tmp,SRR10901792.tmp,SRR10901793.tmp,SRR10901794.tmp,SRR10901795.tmp,SRR10901796.tmp,SRR10901797.tmp,SRR10901798.tmp,SRR10901799.tmp,SRR10901800.tmp,SRR10901801.tmp,SRR10901802.tmp,SRR10901803.tmp,SRR10901804.tmp,SRR10901805.tmp,SRR10901807.tmp,SRR10901808.tmp,SRR10901809.tmp,SRR10901810.tmp,SRR10901811.tmp,SRR10901812.tmp,SRR10901813.tmp,SRR10901814.tmp,SRR10901815.tmp,SRR10901816.tmp,SRR10901818.tmp,SRR10901819.tmp,SRR10901820.tmp,SRR10901822.tmp,SRR10901823.tmp,SRR10901824.tmp,SRR10901825.tmp,SRR10901826.tmp,SRR10901827.tmp,SRR10901828.tmp
chr1,21410456,14,1,9,9,11,12,17,22,11,6,11,17,7,16,11,11,16,8,14,10,9,6,16,14,44,7,21,15,12,14,7,13,11,0,0,9,15,13,11,4,7,13,1,0,15,7,20,21,10,12,6,6,11,7,11,8,16,5,10
chr1,21410457,14,1,10,10,10,12,18,21,11,6,12,17,7,16,11,11,17,9,14,10,9,6,17,15,45,8,21,15,12,14,7,13,11,0,0,9,15,13,11,4,7,14,1,0,14,8,21,22,11,12,6,7,11,8,11,8,16,5,10
chr1,21410462,12,1,10,10,10,10,19,19,11,4,12,19,7,15,10,13,13,8,13,9,9,6,18,17,47,9,21,16,11,13,8,13,12,0,0,11,14,12,10,3,7,11,2,0,12,9,21,21,13,10,6,7,11,8,10,8,14,5,8
chr1,21410523,28,0,19,16,21,18,29,30,22,11,23,21,13,24,22,19,19,21,22,20,16,9,27,32,67,15,28,26,19,24,15,19,24,0,0,20,23,20,17,10,12,19,1,1,22,13,29,26,18,21,9,13,18,15,21,19,22,7,14
chr1,21410631,20,1,17,13,12,16,25,22,17,12,15,21,17,23,9,20,24,20,18,15,11,10,15,27,46,9,17,16,12,25,12,16,24,1,1,15,14,17,22,10,10,16,0,0,13,9,32,20,14,14,10,11,14,11,9,10,11,11,14
chr1,21410496,23,1,16,13,18,13,26,29,16,6,19,17,11,20,14,17,16,16,17,15,12,12,26,27,57,13,29,21,15,20,12,21,19,0,0,17,17,15,18,7,9,18,2,1,19,10,23,23,15,16,10,9,17,11,13,15,19,7,13
chr1,21410512,24,0,16,15,20,17,25,28,18,6,21,19,12,21,17,17,16,19,17,16,12,11,26,29,60,12,27,23,17,22,14,18,22,0,0,16,20,17,17,7,11,16,1,1,18,11,26,22,15,18,8,9,17,14,14,16,19,7,13
chr1,21410444,18,1,10,11,12,11,18,23,12,9,13,19,12,20,11,11,19,8,15,12,9,6,17,18,45,8,22,15,12,14,9,19,12,0,0,11,17,16,13,5,9,15,1,0,16,7,24,22,12,12,5,8,16,8,12,8,17,4,11
chr1,22878500,18,7,28,23,28,8,32,36,25,16,23,36,24,34,14,33,19,32,32,13,16,10,16,37,76,12,30,18,13,24,25,19,30,0,2,21,16,24,17,24,15,19,2,0,30,26,51,35,23,23,10,14,28,22,8,19,27,16,17
chr1,22878508,18,5,29,22,29,10,30,36,25,18,22,34,22,33,15,34,20,33,31,13,15,10,15,37,75,10,29,19,13,23,25,19,29,0,2,21,17,22,18,22,14,17,2,0,32,24,46,35,23,24,10,14,22,24,10,18,25,15,17
chr1,22878514,19,5,28,20,28,10,28,38,22,19,21,34,23,33,14,32,20,29,28,11,13,10,15,34,73,9,30,17,13,20,24,19,28,0,2,19,16,21,19,22,13,15,2,0,30,23,44,32,21,24,10,16,22,26,10,16,26,13,16
chr1,22878562,22,3,28,18,26,9,30,37,26,22,24,38,23,31,21,24,18,26,22,23,13,13,17,35,78,11,25,18,15,19,22,17,24,0,2,19,16,23,15,26,15,27,2,0,26,19,44,39,20,18,11,13,25,27,14,15,28,18,15
chr1,22878340,32,4,48,23,45,21,50,43,27,22,37,42,36,44,21,35,30,36,28,29,18,12,24,65,106,15,45,26,18,40,35,29,30,0,4,35,39,27,27,39,17,34,3,0,45,42,53,32,40,26,17,22,41,25,15,30,39,12,16
chr1,22878353,30,5,43,22,42,21,47,46,31,24,36,44,30,43,18,35,32,40,29,31,20,10,24,61,104,16,49,22,22,40,32,27,30,0,4,34,36,31,27,38,15,37,3,0,44,39,54,32,40,27,16,20,38,22,13,29,38,13,16
chr1,22878390,22,4,45,19,42,21,38,40,31,23,37,47,25,29,18,32,30,37,27,24,22,10,25,54,88,13,44,21,21,38,26,25,32,0,2,20,35,30,23,32,22,28,2,0,38,33,49,30,33,30,17,21,29,25,12,23,33,14,17
chr1,22878338,32,4,48,24,45,21,51,43,28,23,36,42,35,45,21,36,30,37,28,29,19,12,24,65,107,15,47,28,18,40,36,30,30,0,4,35,39,26,26,39,17,34,3,0,45,42,53,33,40,26,17,22,41,26,15,30,39,12,17
chr1,22878515,19,5,28,20,28,10,26,38,22,19,20,34,23,33,13,31,20,29,28,12,14,10,15,34,72,8,29,17,13,20,24,19,27,0,2,17,16,21,20,22,13,15,2,0,30,23,44,32,20,23,9,16,22,27,10,16,26,13,16
chr1,21410467,15,1,12,9,11,11,20,23,13,4,13,18,7,17,9,14,13,10,15,10,9,7,20,19,47,9,26,18,13,15,10,13,12,0,0,13,16,14,12,4,8,12,2,0,14,8,22,20,15,13,7,8,11,8,12,9,14,5,10
chr1,21410477,19,1,12,11,13,10,21,26,11,3,16,19,9,18,10,14,13,10,16,12,11,9,23,24,51,11,25,20,14,17,10,17,15,0,0,13,16,14,14,6,8,13,2,1,18,10,22,22,13,15,8,8,15,9,13,10,15,5,13
chr1,21410518,26,0,18,16,20,17,27,28,20,9,22,20,12,23,21,18,18,20,21,18,13,9,27,30,62,13,27,23,18,23,14,18,23,0,0,18,21,18,17,9,11,17,1,1,20,12,26,24,15,19,9,11,18,14,17,16,19,7,14
chr1,21410576,29,1,21,16,24,17,31,31,25,16,32,22,17,26,27,31,30,23,26,25,12,10,27,35,71,13,28,26,20,26,20,18,31,1,1,19,23,29,25,12,18,25,1,0,24,12,42,28,22,24,8,18,21,17,20,22,23,10,15
chr1,21410630,20,1,16,13,12,16,25,22,17,11,15,20,17,23,9,20,24,20,18,15,11,10,15,27,46,9,17,16,12,24,12,16,23,1,1,15,14,17,22,10,10,16,0,0,13,9,32,20,14,14,10,11,14,11,9,10,11,11,14
chr1,22878552,22,4,28,20,26,10,34,36,23,23,21,35,23,32,17,28,21,25,25,21,13,11,15,36,81,10,25,16,12,24,22,18,22,0,2,22,20,19,17,24,16,25,2,0,26,22,46,41,19,21,11,15,25,24,13,18,31,18,15
chr1,9837095,1,0,1,3,3,1,2,8,5,6,6,3,3,8,4,6,2,4,2,6,2,2,4,5,20,3,6,1,2,3,3,3,2,0,0,2,2,7,3,4,4,3,1,0,5,4,7,3,5,7,1,1,7,0,3,4,4,1,2
chr1,9837119,4,0,1,3,3,1,2,7,5,4,4,3,4,7,4,6,1,5,2,5,1,2,3,5,14,3,6,0,1,4,3,4,3,0,0,2,2,6,2,4,3,2,1,0,5,3,5,1,5,4,1,1,7,0,4,3,5,2,2
chr1,9837121,4,0,1,3,3,1,2,8,5,4,4,3,4,7,4,5,1,5,2,5,1,2,3,5,14,3,7,0,1,4,3,4,3,0,0,2,2,6,2,4,3,1,1,0,4,3,5,1,5,4,1,1,8,0,4,3,5,2,2
chr1,21410513,23,0,16,15,20,17,25,27,18,6,21,19,12,21,17,17,15,19,17,16,12,10,26,28,60,12,27,23,17,22,13,17,22,0,0,16,20,16,17,7,11,16,1,1,18,11,25,22,15,18,8,9,17,14,14,15,18,7,13
chr1,21410525,28,0,19,16,21,18,29,30,22,11,23,21,13,23,22,19,20,22,22,20,16,9,27,31,66,15,28,26,20,23,15,19,24,0,0,20,22,20,17,10,12,19,1,1,22,13,29,25,18,21,8,12,18,15,21,19,22,7,14
chr10,6227935,14,0,16,8,12,9,18,13,11,12,13,17,7,19,16,14,10,23,10,13,18,13,11,32,42,6,14,12,12,16,15,11,16,1,0,9,16,17,17,10,16,10,0,0,17,14,28,22,19,15,6,13,13,11,23,13,21,3,6
chr10,6227942,37,7,30,18,22,21,52,39,28,23,20,29,27,29,17,20,18,32,22,35,26,15,22,27,81,13,37,25,19,29,17,17,32,0,1,22,28,18,29,16,17,20,1,0,21,21,39,48,24,21,7,15,20,11,20,13,28,13,14
chr10,6227962,40,5,28,15,19,22,52,37,27,19,18,33,25,28,15,17,21,34,23,28,25,14,20,27,82,12,43,27,19,31,17,16,33,0,1,24,23,22,29,16,17,21,0,0,19,20,41,51,28,21,11,20,20,14,19,17,28,12,15
